Title,Start Time,Registerd End Time,Real Duration
Windows PowerShell,2024-02-04 21:38:08.371964,2024-02-05 02:23:06.038704,0 days 00:04:40
data.html and 10 more pages - Personal - Microsoftâ€‹ Edge,2024-02-04 21:38:50.405786,2024-02-04 21:39:00.516597,0 days 00:00:10
qBittorrent v4.6.3,2024-02-04 21:53:33.760024,2024-02-04 22:03:39.388883,0 days 00:00:40
WhatsApp,2024-02-04 21:53:01.391378,2024-02-04 22:04:04.608848,0 days 00:09:30
Screen Snipping,2024-02-04 21:54:04.026113,2024-02-04 21:55:06.624588,0 days 00:00:10
main.py - Windows-App-Usage - Data Science - Visual Studio Code - Insiders,2024-02-04 22:03:41.416461,2024-02-05 02:21:26.096306,0 days 00:01:30
idle,2024-02-05 02:08:18.001482,2024-02-05 02:11:48.176689,0 days 00:01:10
Preview 'data.csv' - Windows-App-Usage - Data Science - Visual Studio Code - Insiders,2024-02-05 02:22:03.438840,2024-02-05 02:22:33.719474,0 days 00:00:30
Windows-App-Usage - Data Science - Visual Studio Code - Insiders,2024-02-05 02:22:40.800475,2024-02-05 02:22:50.878939,0 days 00:00:10
